"","Site","Type","Time","Rep","PAR0","PAR25","PAR50","PAR100","PAR150","PAR300","PAR500","PAR750","PAR1000","PAR1250","PAR1600","PAR2000","Resp","Net","QY","LightSat","Shape","Amax","Thickness(mm)","Total Biomass","Diversity","Bacterial Biomass","Actinomycetes Biomass","Gram Neg Biomass","Rhizobia Biomass","Fungal Biomass","Arbuscular Mycorrhizal Biomass","Saprophytes Biomass","Protozoa Biomass","Gram Pos Biomass","Undifferentiated Biomass","Soil.pH","S.Salts(mmhom/cm)","Organic.Matter.LOI","Nitrate(ppm N)","Olsen(ppm P)","Potassium(ppm K)","Sulfate(ppm S)","Calcium(ppm Ca)","Magnesium(ppm Mg)","Sodium(ppm Na)","CEC","%K.Sat","%Ca.Sat","%Mg.Sat"
"1","AMT","CL","half",1,-8.34399987233927,-7.68478730405495,-7.08639537786601,-6.28887270535162,-5.84658525815218,-5.36085662036252,-4.51344691864539,-3.50655466772325,-2.85034559715356,-2.20039594670853,-1.41916704622949,-0.354474025838601,-8.34399987233927,-0.354474025838601,0.0257602963104189,2000,"UpUpUp",7.98952584650067,9.26,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"2","AMT","CL","half",2,-15.4128472709213,-14.3162147300528,-13.3221539371652,-12.4752700776043,-11.7962132437315,-10.4994555275477,-9.40526796671856,-8.28899027985059,-7.58533990638311,-6.38555764750987,-5.68642173477156,-5.09599462223732,-15.4128472709213,-5.09599462223732,0.0428395841549317,2000,"UpUpUp",10.316852648684,12.37,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"3","AMT","CL","half",3,-10.0593573170864,-9.8825750391187,-9.16921670938132,-8.37843100650287,-6.96902129231437,-6.08578877321138,-5.02092865479975,-4.19414405506613,-3.24754696470273,-2.8059154163342,-2.44182386688607,-2.54015801785762,-10.0593573170864,-2.44182386688607,0.0124370516364038,1600,"TipDown",7.6175334502003,7.64,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"4","AMT","CL","half",4,-10.4652275342222,-10.8730894914001,-10.1926679501223,-9.59724399814187,-8.28066557733686,-6.93402069582865,-6.28432963803021,-5.6954748234715,-5.20347057202597,-4.91812655493854,-4.97300852368315,-4.61473435672149,-10.8730894914001,-4.61473435672149,0.0272168616511104,2000,"UpUpUp",6.2583551346786,7.28,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"5","AMT","CL","half",5,-9.55535034053003,-9.09176366221432,-8.61299010267575,-7.99539205224793,-7.63826068625726,-7.27673940996315,-7.11637882468483,-6.72994015166693,-6.52909179608929,-6.84663173740216,-6.66217583357841,-6.88962112535773,-9.55535034053003,-6.52909179608929,0.0186953359448569,1000,"Normal",3.02625854444074,8.25,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"6","AMT","CL","six",1,-7.05983404001305,-7.06791059900553,-6.4248097634492,-6.04615798220576,-4.89833852448663,-3.28943898271806,-2.31390842647762,-1.34496528253307,-0.337673572080212,-0.139897557483607,0.920635329660537,1.25346462409202,-7.06791059900553,1.25346462409202,0.0257240334222532,2000,"UpUpUp",8.32137522309754,10.61,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"7","AMT","CL","six",2,-11.0926549390046,-10.8158369956619,-10.2607702637751,-9.47973604473752,-8.41184498559014,-7.38539746298365,-6.41010825058968,-5.40801193809112,-4.51872616265354,-3.84503218183788,-3.53137970822986,-3.83507147786697,-11.0926549390046,-3.53137970822986,0.0138552056191514,1600,"TipDown",7.56127523077479,9.46,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"8","AMT","CL","six",3,-9.76347280463127,-9.00099178684684,-7.88431163991664,-6.4558527083831,-5.00712532123039,-3.39661908271493,-2.11159078031729,-1.12688390122097,-0.576003561628624,-0.263762111715871,-0.225899382640478,-0.598803487615632,-9.76347280463127,-0.225899382640478,0.0340412320028348,1600,"TipDown",9.53757342199079,8.09,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"9","AMT","CL","six",4,-5.50910859659514,-4.56226548819297,-3.51799275623531,-2.71471160819483,-1.62631457023803,-0.819613237071263,0.242182308173143,0.949759102772203,1.50581617588096,2.05860774691802,2.66143869457741,3.22975747985317,-5.50910859659514,3.22975747985317,0.038848020571642,2000,"UpUpUp",8.73886607644832,10.06,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"10","AMT","CL","six",5,-2.50317096743314,-2.4785866683036,-3.02027260546418,-2.90362339904579,-2.75631484141832,-2.2894760041269,-2.19640210712537,-1.73372988295929,-1.45098984105968,-0.892323363964684,-0.719070946736902,-0.227774177701331,-3.02027260546418,-0.227774177701331,NA,2000,"UpUpUp",2.79249842776285,10.42,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"11","AMT","CL","twelve",1,-2.96036273632607,-2.58695399438799,-1.85267395824833,-0.660547590548419,-0.430835400880712,1.09000933502699,1.34027708728887,2.25839970196554,2.39948940155222,2.85946517260138,3.99508436727518,5.4047224921672,-2.96036273632607,5.4047224921672,0.018545062619539,2000,"UpUpUp",8.36508522849327,8.39,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"12","AMT","CL","twelve",2,-3.85817897195634,-2.92387536429063,-2.2590733673651,-1.38604835987992,-0.886933836333736,0.137031349156339,0.767163948151833,1.15068345160723,1.51533876033286,1.35518389381819,1.34867770683196,1.05470946216776,-3.85817897195634,1.51533876033286,0.0346771281992266,1000,"UpDown",5.3735177322892,6.75,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"13","AMT","CL","twelve",3,-6.43171591693906,-5.95168412595709,-5.90807729440543,-4.81096879085886,-4.10682593340095,-3.23280674031775,-2.29466439466624,-1.87383629718582,-1.11875632157526,-0.953595131529948,-1.14484763705652,-1.55664726844159,-6.43171591693906,-0.953595131529948,0.0148370220449755,1250,"TipDown",5.47812078540911,7.19,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"14","AMT","CL","twelve",4,-8.72678757819276,-7.18766642006644,-5.65374142998435,-4.22571784181973,-3.03284586310333,-1.5544096051101,-0.480105897574538,0.196911983414641,0.73336115260167,1.1848760003261,1.22816259578651,1.72009972732093,-8.72678757819276,1.72009972732093,0.0615128846446105,2000,"UpUpUp",10.4468873055137,5.93,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"15","AMT","CL","twelve",5,-8.49600086422456,-7.63427627922365,-6.82059140061227,-5.70580927560926,-4.94270112168023,-3.58031065116948,-2.52338699775162,-1.89373598469273,-1.31669590761477,-1.00854078160329,-0.689035948897192,-0.708262686152807,-8.49600086422456,-0.689035948897192,0.0339885863361409,1600,"TipDown",7.80696491532736,7.56,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"16","AMT","CL","twentyfour",1,-6.10473885968525,-4.83819798205809,-4.14457645080957,-3.0607132017257,-2.37484465210331,-1.34908375810297,-0.471009238868004,-0.144859327393185,0.313075114042733,0.669195140564662,0.642478208408232,0.825497789595375,-6.10473885968525,0.825497789595375,0.0449324416412998,2000,"UpUpUp",6.93023664928062,9.93,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"17","AMT","CL","twentyfour",2,-1.81382697925065,-0.800668875447011,0.116105597652934,1.47496447881945,2.53218089980628,4.49173097049441,5.93193385374644,7.29525178505961,8.64797784732773,9.87715554672372,11.752736748859,14.5024147383942,-1.81382697925065,14.5024147383942,0.0395624878451087,2000,"UpUpUp",16.3162417176448,8.22,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"18","AMT","CL","twentyfour",3,-7.41699656240557,-6.19214291810156,-5.67691011227024,-4.7219783403634,-4.30523234501815,-3.72575529939247,-3.2969773059426,-2.82464796479966,-2.67164063292244,-2.38282170920774,-2.09023548859192,-2.29495200510634,-7.41699656240557,-2.09023548859192,0.0418979373874336,1600,"TipDown",5.32676107381366,7.93,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"19","AMT","CL","twentyfour",4,-6.15470237572783,-5.60992247912113,-5.13526189820388,-4.14689237426917,-3.68044333407595,-2.40190320092019,-1.59680754521419,-0.992549722290851,-0.511535813088042,-0.128176640068884,-0.258653940282981,-0.409256064237264,-6.15470237572783,-0.128176640068884,0.0210900027073736,1250,"TipDown",6.02652573565894,7.86,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"20","AMT","CL","twentyfour",5,-1.19621407788573,-0.964445824651806,-0.985635380874741,-0.361693657758789,0.300934519448096,1.34541981082588,2.34472573478099,3.24290244984799,4.09318232330506,4.96300869193239,6.22178778677118,7.64884832190256,-1.19621407788573,7.64884832190256,NA,2000,"UpUpUp",8.84506239978829,6.57,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"21","AMT","CL","two",1,-11.0607290728392,-11.4876989763281,-11.3455681095938,-11.052172249799,-10.028129645302,-8.62007642341316,-7.35581054637057,-5.83466627863832,-4.40157966080892,-2.86281632914122,-1.52589085385568,-0.294126906801616,-11.4876989763281,-0.294126906801616,0.00568523466937151,2000,"UpUpUp",11.1935720695264,9.98,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"22","AMT","CL","two",2,-8.13977533661844,-6.76715222882749,-6.35871085391765,-5.68641616604724,-4.63446460866096,-4.08569559636534,-2.93344741581735,-2.72974346065015,-2.47809109860218,-1.91161366347513,-1.79695765893875,-1.33738013304282,-8.13977533661844,-1.33738013304282,0.0452631069828268,2000,"UpUpUp",6.80239520357561,7.98,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"23","AMT","CL","two",3,-11.29243455303,-10.4630420580717,-9.53718510928868,-8.79701542704104,-8.11050394005131,-7.4802640972199,-6.89838828378751,-6.4535588982935,-6.35968376124347,-6.16965113393757,-6.1076122090651,-6.52496688528889,-11.29243455303,-6.1076122090651,0.0341403443365775,1600,"Normal",5.18482234396486,8.13,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"24","AMT","CL","two",4,-6.83250505286324,-6.33286529400297,-5.89810222174797,-5.18637636230269,-4.57654628657319,-3.56337836510367,-2.57617733818748,-1.2996384855661,0.176965118178845,1.49330603820157,3.82493452501693,7.33857972440567,-6.83250505286324,7.33857972440567,0.0193368234883581,2000,"UpUpUp",14.1710847772689,8.7,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"25","AMT","CL","two",5,-9.31697162870554,-10.5660519376447,-11.0061554636059,-10.4695507395067,-9.93096860808501,-8.69011202801231,-7.17966351948404,-6.07031990608217,-4.73179795487552,-4.01084659997163,-3.17056818233194,-2.51515923552972,-11.0061554636059,-2.51515923552972,NA,2000,"UpUpUp",8.49099622807617,9.69,9420.47,1.201,3470.55,110.55,2576.9,0,2060.73,209.63,1851.1,0,893.66,3889.19,7.9,0.14,1.9,0.6,4,270,9.5,2069,148,7,12.3,6,84,10
"26","AMT","DA","half",1,-3.39972037066727,-3.7970766811626,-3.52580020415174,-3.14465698637692,-3.13706076869854,-2.83765237310438,-2.40321397729956,-1.96595925358195,-1.6011453707668,-1.53059946495324,-1.19245046661258,-1.34450535516028,-3.7970766811626,-1.19245046661258,0.0108510590804347,1600,"TipDown",2.60462621455002,5.72,2312.65,1.193,731.37,28.27,495.05,0,174.72,36.72,138,0,236.32,1406.55,8.1,0.12,1.2,0.7,7.2,261,10.6,2650,151,6,15.2,4,87,8
"27","AMT","DA","half",2,-1.48341358236556,-2.31579918321216,-2.83162740547925,-2.2860741180552,-2.35022602818575,-2.68218163154157,-2.80970289999989,-2.60614482152922,-2.53058537218409,-2.44190742442638,-1.86904445913416,-1.59280459588698,-2.83162740547925,-1.48341358236556,NA,0,"DownDownUp",1.34821382311369,3.62,2312.65,1.193,731.37,28.27,495.05,0,174.72,36.72,138,0,236.32,1406.55,8.1,0.12,1.2,0.7,7.2,261,10.6,2650,151,6,15.2,4,87,8
